Stock name,Start date,End date,Price at end,Label
RAJESHEXPO,2025-03-17,2025-05-15,198.92,Good VCP
RAJESHEXPO,2025-09-01,2025-11-13,185.08,Good VCP
RAMAPHO,2025-03-27,2025-06-12,124.35,Good VCP
RAMCOIND,2025-03-03,2025-04-04,235.53,Bad VCP
RAMKY,2025-03-03,2025-05-14,504.1,Good VCP
RATEGAIN,2024-04-19,2024-07-03,770.1,Good VCP
RATNAMANI,2025-02-28,2025-04-29,2677.17,Good VCP
RBLBANK,2025-01-20,2025-03-19,166.19,Good VCP
RBZJEWEL,2025-04-09,2025-05-29,145.86,Good VCP
RECLTD,2025-08-29,2025-10-20,356.4,Bad VCP
RELIGARE,2024-06-04,2024-08-21,259.05,Good VCP
RELINFRA,2023-02-23,2023-04-05,151.4,Good VCP
RHL,2026-03-30,2026-06-23,180.13,Good VCP
RITCO,2025-04-07,2025-06-09,295.85,Bad VCP
RKSWAMY,2025-03-11,2025-05-20,207.35,Bad VCP
ROUTE,2022-02-24,2022-04-22,1514.37,Good VCP
RUPA,2026-03-30,2026-06-19,160.76,Good VCP
SAIL,2025-02-12,2025-03-19,111.83,Bad VCP
SAMMAANCAP,2025-03-03,2025-04-03,116.35,Bad VCP
SANDHAR,2025-02-17,2025-03-19,366.66,Good VCP
SANGAMIND,2022-05-26,2022-07-22,277.1,Good VCP
SAPPHIRE,2025-01-28,2025-03-21,313.95,Bad VCP
SAPPHIRE,2025-04-07,2025-06-06,332.5,Bad VCP
SARDAEN,2025-04-07,2025-06-11,449.05,Bad VCP
SAREGAMA,2026-03-09,2026-05-07,349.85,Good VCP
SASKEN,2025-04-09,2025-07-21,1477.68,Good VCP
SBICARD,2023-11-17,2024-01-15,760.33,Bad VCP
SCPL,2024-02-06,2024-05-10,426.65,Good VCP
SECMARK,2024-10-04,2025-01-02,115.22,Bad VCP
SESHAPAPER,2023-03-28,2023-06-14,263.26,Good VCP
SESHAPAPER,2024-11-21,2024-12-27,311.24,Bad VCP
SFL,2023-03-29,2023-05-16,1053.97,Good VCP
SHALPAINTS,2024-03-13,2024-05-02,172.75,Bad VCP
SHEMAROO,2025-03-17,2025-05-15,106.14,Bad VCP
